"x"
"100 of new members arent using their gym membership right now unlike 99 on a typical year"
"sounds about right"
"my gym froze my membership so i cant wait to
not go back after"
"mine didnt and its hundreds of dollars to cancel itbut theyre still charging the 60mo membership fee while theyre closedquite some bullshit"
"wtf thats legal what gym do you go to i have a membership at planet fitness and they freeze the account"
"im at anytime fitness and they arent charging us either"
"privately owned local gym in north florida"
"you could definitely get back your money or even start a lawsuit they are charging you for something they not provide"
"that checks out  its florida"
"a contract very simplified is what when where and how much that is agreed between two partiesif they cannot fulfill their side of the agreement then your side cannot be enforced

they can probably ask for a retainer fee but if you refuse then the contract lapses"
"you can sue that and honestly i would even do you could be noble and let them keep your money if they didnt at least give you the option to freeze it f them and get your money back"
"what state i have 2 gym memberships one in miami and one in tennessee and both states  froze mine i think they legally have too"
"talk to your bank and request a charge back on all payments"
"thats so fucked ay"
"the real showerthought is in the comments"
"yea plus ur dad copped a mad finger bangin in college"
"its closer to 75 percent"
"honestly i got a membership to aaa in february thinking i had a big road trip in april now my car is sitting in the driveway like a lawn ornament"
"aaas business model"
"used to work for them they dont make money off the membership they make thier money off thier other services used to see how much they pay towing companies and boy is it more than what you pay for memebership"
"yep if you can afford the primer membership its a damn good deal for the ridiculous range of the tows included"
"if you have an older piece of shit vehicle and want to drive it til it dies aaa is worth every penny"
"one time i killed my battery sitting in my car during my lunch break about a half hour and 50 later i had a new battery thanks aaa"
"i have had aaa since i turned 16 i dont even think about whether to renew it each june 

theyll give you gasi once parked on a hill in sf so steep that my gas gauge read empty didnt realize this until they filled me up enough to start my car and i drove away with 14 tank unlock your cari kept a spare house key hidden in my car so i never had to pay my landlords lockout fee tow you when you get a flatchanging a tire on the side of the road in 110 degree weather isnt worth it 1110 would recommend"
"lpt be sure to keep the battery charged some batteries dont like going totally flat"
"i thought about that but since i have aaa im not worried about it 

but seriously im driving around the neighborhood at least once a week to keep it charged"
"my gym isnt charging during the pandemic that and theyre closed too"
"samesies"
"ditto"
"my gym was closed for two weeks and after that i got an email asking how to handle the payments they received there were a choice of deducting it from the next fee or to not claim it at all i thought about all the people that would probably get affected by this in the long run and opted to not ask for anything back now it opened again after those two weeks but theyre probably taking quite a hit economically and im just hoping they can keep all the employees im not going there but still paying since i also care about not being part of spreading corona if i can avoid it"
"you saw me a good person way to go you"
"thanks i think most of us try to contribute and help as much as we can different people different needs and opportunities and while i can afford this some unfortunately cant    
stay safe"
"ditto"
"mine closed and stopped charging then started sending out free home workout content to all members so im actually better off than if i hadnt signed up in the first place"
"i think what kills me is that on january 1st i started going to the gym in my building for the first time for three months me and my wife went everyday for like 40 minutes five times a week i was finally feeling better about my health and then bam stuck indoors"
"mood i feel this"
"yup exact same"
"you were going to the gym until the end of march"
"i dont remember exactly when our gym shut down here i think it was sometime in march"
"its just that things were getting pretty serious a while before then  surprised is all"
"not here in canada at least not earlymid march"
"yeah i was the same just at the end of january finally got into a rutine and not feeling bah gym and then this shit happens trying to get out of being introvert and the universe went nope get the fuck back into the box"
"everyday five times a week 

that gave me a good chuckle"
"haha i knew when i wrote it that it was stupid but yeah i meant 5 days a week"
"same made some good progress after going back to the gym after like 5 years then this shit happens"
"yup paid for a whole year upfront too"
"this is me public transportation and the gym membership theyre both operational and open even though im not using them due to avoiding people at a time like this hopefully were keeping someone employed with that money and if so its worth it in the end for me"
"definitely agree there i live in a very small community see the gym owners in the village all the time kind of small i know they will probably put our memberships on hold for a few months but even if they dont im not that stressed about it they have done such an awesome job with it since they bought it open 24 hours new equipment lots of classes 

it more this was my kick in the ass to get my ass in shape and the covid strikes never fails haha"
"yeah i just got going a while back and was starting to enjoy it and then this but i guess this could be applied to lots of things these days but here in sweden we havent locked down everything instead asking people to use common sense my common sense says dont for a lot of things though    
stay safe"
"ha same finally found a gym i feel really comfortable in well its not going anywhere hopefully so i will just start going again when its safe i had to get swabbed today for covid as i have a sore throat and a cough so its at least 3 days of isolation for me till the test comes back neither dr i talked to thinks its it though no cases near us at all but better safe than sorry still common sense doesnt seem so common these days so i will hibernate as long as i can hello from bc canada stay safe over there"
"good luck im in victoria hope you are well"
"hello fellow islander thank you stay safe out there"
"hope its not covid or atleast that it wont give you or others close to you a difficult time wish you all the best and a quick recovery   
i also find that the common sense becomes less common as time pass i guess its our best survival talent adaptation thats not beneficial right now"
"thank you that means a lot im more worried for my community right now so all available appendages crossed its just an annoying spring cold"
"same"
"paid the year up front for both my gyms one was like were closed until further notice no refunds sucks to suck the other sends biweekly emails on updates to the potential reopening as well as equipment being upgraded and stated that for every week of closure i can choose between receiving personal training sessions guest passes or a prorated discount on my next renewal no points for guessing which ones getting canceled when this is all over"
"yeah no kidding its funny how this whole situation either brings out the good or the bad makes it real easy to know who to support in the long run stay safe out there"
"it was a bad year to decide im going to make new friends"
"my dating life"
"oof this hits too hard"
"same i broke up with my gf and my best friend is with her now so i was like okey i will try to make new friends and was literally in the process of organizing a meeting with a few when this happened"
"perfect year for streaming services though"
"unless you have like siriusxm only in your car"
"most siriusxm subscriptions come with the app now  i listen on my phone all day"
"i hate them got a new car that came with it and i didnt know until my free trial was almost up and they kept calling and emailing me to pay lol no thanks i got spotify"
"perfect year for grocery store and amazon profit"
"its really a bad year to do anything in general"
"except build a homegym"
"i had just gotten into such a great routine was getting up early and going to the gym 5 days a week for the last year or so i had been on and off and really inconsistent but i had finally worked out a schedule and stuck to it for a solid month in february i even started to look forward to the gym fuck you rona"
"more like its a bad year to be a gym can always work out at home"
"lets be honest here body weight exercises are not as good as the usual lifts and most people dont have the space  money to buy a home gym im happy with a couple dumbbells and cycling season for cardio though"
"i used to only do bodyweight workouts at home for years and liked it but struggled to progress then starting lifting at the gym and was doing great for 6 months now my gym is closed and going back to bodyweight sucks i do it but it feels like a chore where lifting used to be fun"
"have you figured out what made it better at the gym maybe you can modify things at home to better reflect that 

like if it was the comradeship of other people maybe you could do workouts with others over video if it was the motivational music see if you can find something similar online like spotify or pandora"
